word,partOfSpeech,IPA,meaning,example,exampleForQuiz
fruitless,adjective,/ˈfrutləs/,không có kết quả,The volunteer group’s efforts to clean up the trash werefruitlessas people still carelessly littered.,The volunteer group’s efforts to clean up the trash were__________as people still carelessly littered.
fumes,noun,/fjumz/,"khói, hơi",Exhaustfumes,Exhaust_____
futile,adjective,/ˈfjutəl/,"vô ích, vô nghĩa",Futileeffort,______effort
greenhouse gases,noun,/ˈɡrinˌhaʊs ˈɡæsəz/,khí nhà kính,The greenhouse effect releases large amounts ofgreenhouse gasses.,The greenhouse effect releases large amounts of__________________
immune,adjective,/ɪmˈjun/,"tránh khỏi, miễn dịch","Our boss isn’timmuneto suggestions, but they must be reasonable.","Our boss isn’t______to suggestions, but they must be reasonable."
impact,noun,/ˈɪmpækt/,tác động,Education has a bigimpacton personality.,Education has a big_______on personality.
impracticable,adjective,/ɪmˈpræktɪkəbəl/,bất khả thi,Impracticableplan,_____________plan
improbable,adjective,/ɪmˈprɑbəbəl/,không chắc sẽ xảy ra,It’s veryimprobablethat the traffic congestion will decrease.,It’s very___________that the traffic congestion will decrease.
inevitable,adverb,/ɪˈnɛvətəbəl/,không thể tránh được,Their argumentsinevitablyend in divorce.,Their arguments__________end in divorce.
inexorably,adverb,/ɪˈnɛksərəbli/,"chắc chắn, không thể thay đổi",This meeting willinexorablylead to non-cooperation.,This meeting will___________lead to non-cooperation.
insoluble,adjective,/ɪnˈsɑljəbəl/,"không giải quyết được, nan giải",Traffic congestion in Ho Chi Minh city seems to be aninsolubleproblem.,Traffic congestion in Ho Chi Minh city seems to be an__________problem.
irreversible,adjective,/ˌɪrɪˈvɜrsəbəl/,"không thể đảo ngược, không thể thay đổi",Social media has had anirreversibleimpact on the young generation.,Social media has had an_____________impact on the young generation.
liable,adjective,/ˈlaɪəbəl/,chịu trách nhiệm (pháp lý),She is stillliablefor raising the child.,She is still_______for raising the child.
life-threatening,adjective,/laɪf-ˈθrɛtənɪŋ/,đe dọa mạng sốnghiểm nghèo,A life-threateningexperience,__________________experience
pervasive,adjective,/pərˈveɪsɪv/,"lan tỏa, tràn ngập",Pervasivesmell of trash,_________smell of trash
pollutant,noun,/pəˈlutənt/,chất gây ô nhiễm,Harmfulpollutants,Harmful__________
pollution,noun,/pəˈluʃən/,sự ô nhiễm,Airpollution,Air_________
pristine,adjective,/ˈprɪstin/,"nguyên trạng, như mới","Lam Kinh forest, Thanh Hoa has been keptpristinelyafter 600 years.","Lam Kinh forest, Thanh Hoa has been kept___________after 600 years."
process,noun,/ˈprɑˌsɛs/,quá trình,Developmentprocess,Development_______
questionable,adjective,/ˈkwɛsʧənəbəl/,"đáng ngờ, nghi vấn",It isquestionablewhether tiktokerscan be really rich.,It is____________whether tiktokers_can be really rich.
recyclable,adjective,/riˈsaɪkləbəl/,có thể tái chế,Recyclableplastic bottles,___________plastic bottles
repairable,adjective,/rɪˈpɛrəbəl/,có thể sửa được,Arepairablemistake,A___________mistake
refuse,noun,/rɪˈfjuz/,rác thải,Gardenrefuse,Garden______
strain,noun,/streɪn/,"sự căng thẳng, áp lực",The storm put such astrainon the building that it collapsed.,The storm put such a_______on the building that it collapsed.
sustainable,adjective,/səˈsteɪnəbəl/,bền vững,Sustainabledevelopment,____________development
the environment,noun,/ði ɪnˈvaɪrənmənt/,môi trường,The naturalenvironment,The natural___________
threat,noun,/θrɛt/,mối đe dọa,Significant climate changes are a majorthreatto human life.,Significant climate changes are a major_______to human life.
unattainable,adjective,/ˌʌnəˈteɪnəbəl/,không thể với tới,Humans living in harmony with nature is anunattainableprospect.,Humans living in harmony with nature is an_____________prospect.
unprecedented,adjective,/ənˈprɛsɪˌdɛntɪd/,chưa từng thấy,Unprecedentedcorruption cases,_____________corruption cases
waste,noun,/weɪst/,"phế thải, rác thải",Domesticwaste,Domestic_____
